Midsem (25),Quiz (20),Tutorial (5),Assignment (10),EndSem
19.5,10.5,3.17,7,50
19,14.5,4.50,8,72
16,11,4.08,5.75,51.00
16.5,4,1.25,3.25,51.00
20,17.5,4.67,8.5,58.0
19,15,3.92,8.5,80.0
8,9,0.50,3.75,30.00
20,9,1.90,6.5,55.0
14,10,4.33,8,50
23,11.5,1.92,7.5,69.0
20,17.5,3.75,8.75,64.00
25,14.5,4.33,7.25,61.00
17,11,4.25,8,55
17,15,4.83,7.25,63.00
14,8.5,3.75,5.5,44.0
14.5,10.5,2.92,5.25,41.00
13.5,4.5,4.25,5.5,45.0
2.5,5,2.67,7.25,25.00
16,4,2.25,5.25,66.00
16,7,3.75,8,60
20,10.5,2.58,7.75,48.50
13.5,11.5,2.42,6.75,51.00
12,3,2.33,3,20
0,0,0.50,2.5,11.0